Date,Open,High,Low,Close,Adjusted_close,Volume
2010-01-04,213.43,214.5,212.38,214.01,6.5627,493728179
2010-01-05,214.6,215.59,213.25,214.38,6.574,601903934
2010-01-06,214.38,215.23,210.75,210.97,6.4695,552158268
2010-01-07,211.75,212,209.05,210.58,6.4575,477129219
2010-01-08,210.3,212,209.06,211.98,6.5004,447876221
2010-01-11,212.8,213,208.45,210.11,6.4431,462229552
2010-01-12,209.19,209.77,206.42,207.72,6.3698,594459014
2010-01-13,207.87,210.93,204.1,210.65,6.4596,605889454
2010-01-14,210.11,210.46,209.02,209.43,6.4222,433153541
2010-01-15,210.93,211.6,205.87,205.93,6.3149,594336402
2010-01-19,208.33,215.19,207.24,215.04,6.5943,730006449
2010-01-20,214.91,215.55,209.5,211.7252,6.4926,612151682
2010-01-21,212.08,213.314,207.21,208.072,6.3806,608154402
2010-01-22,206.78,207.5,197.16,197.75,6.0641,881767534
2010-01-25,202.51,204.7,200.19,203.0752,6.2274,1065699218
2010-01-26,205.95,213.71,202.58,205.94,6.3152,1867109920
2010-01-27,206.85,210.58,199.5312,207.884,6.3748,1722568018
2010-01-28,204.93,205.5,198.7,199.29,6.1113,1173501510
2010-01-29,201.08,202.2,190.25,192.0632,5.8897,1245951282
2010-02-01,192.37,196,191.3,194.73,5.9715,749873484
2010-02-02,195.91,196.32,193.38,195.86,6.0061,698341250
2010-02-03,195.17,200.2,194.42,199.23,6.1094,615327106
2010-02-04,196.73,198.37,191.57,192.05,5.8893,757651155
2010-02-05,192.6252,196,190.85,195.46,5.9938,850305391
2010-02-08,195.69,197.88,194,194.12,5.9527,478268539
2010-02-09,196.42,197.5,194.75,196.19,6.0162,632883973
2010-02-10,195.89,196.6,194.26,195.116,5.9833,370360744
2010-02-11,194.88,199.75,194.06,198.67,6.0923,550343644
2010-02-12,198.11,201.64,195.5,200.38,6.1447,655467680
2010-02-16,201.94,203.69,201.52,203.4,6.2373,543950937
2010-02-17,204.19,204.31,200.86,202.55,6.2113,436394821
2010-02-18,201.63,203.89,200.92,202.928,6.2228,422824342
2010-02-19,201.86,203.2,201.11,201.67,6.1843,415733902
2010-02-22,202.34,202.5,199.19,200.416,6.1458,390824543
2010-02-23,200,201.33,195.71,197.0592,6.0429,575312923
2010-02-24,198.23,201.44,197.84,200.656,6.1532,460565540
2010-02-25,197.38,202.86,196.89,202,6.1944,665396171
2010-02-26,202.38,205.17,202,204.62,6.2747,507460218
2010-03-01,205.75,209.5,205.45,208.99,6.4087,550092736
2010-03-02,209.93,210.83,207.74,208.85,6.4044,566544696
2010-03-03,208.94,209.87,207.94,209.33,6.4192,372238676
