Date,Open,High,Low,Close,Adjusted_close,Volume
2010-01-04,104.84,105.87,104.76,105.66,80.8016,8981390
2010-01-05,105.61,105.67,104.97,105.49,80.6716,6551727
2010-01-06,105.5,105.85,105.36,105.56,80.7251,6799151
2010-01-07,105.38,106.02,104.9499,105.94,81.0157,6313467
2010-01-08,105.67,106.11,105.44,106.11,81.1457,4912227
2010-01-11,106.4,106.66,105.82,106.54,81.4746,6858294
2010-01-12,105.85,106.42,105.58,106.14,81.1687,8875465
2010-01-13,106.33,106.99,106.035,106.75,81.6352,8620253
2010-01-14,106.64,107.15,106.58,107.03,81.8493,7040619
2010-01-15,106.94,106.98,105.5376,106.01,81.0693,14028756
2010-01-19,105.9,107.23,105.86,107.17,81.9564,10881108
2010-01-20,106.5,106.54,105.13,106.02,81.0769,11904459
2010-01-21,105.97,106.11,103.71,103.71,79.3104,22253760
2010-01-22,103.38,103.86,101.5499,101.63,77.7197,24615713
2010-01-25,102.39,102.52,101.67,101.91,77.9339,18238750
2010-01-26,101.66,103.06,101.48,101.88,77.9109,18358628
2010-01-27,101.67,102.51,100.99,102.3,78.2321,16207895
2010-01-28,102.59,102.62,100.51,101.2,77.3909,13413951
2010-01-29,101.56,102.355,100.41,100.55,76.8938,14569343
2010-02-01,101.21,102.35,101.07,101.84,77.8803,9985413
2010-02-02,101.95,103.1,101.6801,102.88,78.6757,8907739
2010-02-03,102.62,103.06,102.34,102.63,78.4845,6564799
2010-02-04,101.95,102.07,100.01,100.04,76.5038,16419204
2010-02-05,100.15,100.34,98.36,100.16,76.5956,28943970
2010-02-08,100,100.38,99.12,99.22,75.8767,10929464
2010-02-09,100.16,101.49,99.84,100.65,76.9703,19229371
2010-02-10,100.55,100.97,99.75,100.52,76.8709,11212088
2010-02-11,100.42,101.75,99.87,101.58,77.6815,9937358
2010-02-12,100.53,101.37,99.99,101.27,77.4444,13643812
2010-02-16,102.01,102.97,101.59,102.81,78.6221,8960310
2010-02-17,103.16,103.44,102.95,103.38,79.058,8788299
2010-02-18,103.17,104.3001,103.16,104.17,79.6622,8677652
2010-02-19,103.7,104.39,103.415,103.99,79.7269,9324418
2010-02-22,104.38,104.38,103.71,103.84,79.6119,5291045
2010-02-23,103.61,104.14,102.69,102.87,78.8682,10812020
2010-02-24,103.18,103.95,102.99,103.7,79.5045,9660363
2010-02-25,102.25,103.34,101.92,103.3,79.1979,10053804
2010-02-26,103.35,103.61,102.78,103.3,79.1979,6966913
2010-03-01,103.67,104.2,103.58,104.02,79.7499,5819603
2010-03-02,104.43,104.64,103.95,104.01,79.7422,5677581
2010-03-03,104.35,104.77,103.83,104.09,79.8035,5894067
2010-03-04,104.24,104.57,103.96,104.5,80.1179,6174949
2010-03-05,104.99,105.77,104.87,105.76,81.0839,6756959
2010-03-08,105.72,105.96,105.5,105.59,80.9535,5732761
2010-03-09,105.44,106.23,105.41,105.71,81.0455,8672249
2010-03-10,105.82,106.14,105.38,105.77,81.0916,7330807
2010-03-11,105.64,106.29,105.24,106.28,81.4826,7748824
2010-03-12,106.64,106.68,106.13,106.42,81.5899,10140658
2010-03-15,106.3,106.63,105.87,106.57,81.7049,6760819
2010-03-16,106.78,107.12,106.41,107.07,82.0882,6854877
2010-03-17,107.31,107.87,107.23,107.52,82.4332,6991922
2010-03-18,107.53,108.03,107.4607,107.95,82.7629,7502577
2010-03-19,108.13,108.17,106.92,107.34,82.4528,12067963
2010-03-22,106.95,108.07,106.92,107.79,82.7985,8835416
2010-03-23,108.03,108.92,107.8295,108.87,83.6281,9105842
2010-03-24,108.52,108.81,108.22,108.4,83.267,7076082
2010-03-25,108.99,109.53,108.315,108.44,83.2978,9530788
2010-03-26,108.63,109.07,108.131,108.43,83.2901,8865000
2010-03-29,108.79,109.16,108.67,108.92,83.6665,5886247
2010-03-30,109.01,109.38,108.67,109.13,83.8278,5781712
2010-03-31,108.82,109.0399,108.32,108.61,83.4284,6080513
2010-04-01,109.24,109.58,108.66,109.28,83.943,11474387
2010-04-05,109.59,109.88,109.25,109.73,84.2887,4246059
2010-04-06,109.45,109.87,109.2782,109.72,84.281,4411353
2010-04-07,109.55,109.7,108.52,109.05,83.7663,10895399
2010-04-08,108.71,109.57,108.5,109.37,84.0121,8765062
2010-04-09,109.52,110.08,109.41,110.06,84.5422,6018208
2010-04-12,110.14,110.36,109.98,110.18,84.6343,4366464
2010-04-13,110,110.44,109.53,110.25,84.6881,6105750
2010-04-14,110.6,111.32,110.43,111.29,85.487,7987372
2010-04-15,111.08,111.62,111.04,111.56,85.6944,8667407
2010-04-16,111.26,111.5,109.7,110.18,84.7035,22113428
2010-04-19,109.86,110.91,109.74,110.84,85.2109,10482471
2010-04-20,111.22,111.43,110.78,111.1,85.4108,8904691
2010-04-21,111.14,111.5,110.69,111.16,85.4569,9117046
2010-04-22,110.61,111.51,110.15,111.35,85.603,9947954
2010-04-23,111.29,112.04,111.05,111.96,86.0719,13874967
2010-04-26,112.11,112.5799,112.02,112.08,86.1642,8021981
2010-04-27,111.76,112.18,109.73,109.87,84.4652,19879241
2010-04-28,110.38,110.84,109.69,110.55,84.988,14837330
2010-04-29,110.94,112,110.92,111.69,85.8644,7472549
2010-04-30,111.81,112,110.04,110.1,84.642,14619013
2010-05-03,110.57,111.82,110.57,111.54,85.749,8330163
2010-05-04,110.51,110.54,108.7001,109.36,84.0731,19917606
2010-05-05,108.55,109.56,108.25,108.8,83.6426,18900369
2010-05-06,108.37,109.15,99.16,105.263,80.9235,34425239
2010-05-07,105.02,105.94,102.54,103.78,79.7834,33887367
2010-05-10,107.57,108.47,107,108,83.0276,20455230
2010-05-11,107.14,108.93,106.98,107.67,82.7739,16440579
2010-05-12,108.08,109.35,107.95,109.26,83.9962,12985457
2010-05-13,108.95,109.46,107.97,108.1,83.1045,11165681
2010-05-14,107.45,107.6699,105.62,106.51,81.8821,17965713
2010-05-17,106.69,106.92,104.66,106.52,81.8898,17555194
2010-05-18,107.29,107.51,105.14,105.39,81.0211,19225993
2010-05-19,104.96,105.58,103.59,104.77,80.5444,24115593
2010-05-20,102.97,103.25,101,101.11,77.7307,28708079
2010-05-21,99.3,101.97,99.02,101.84,78.5876,30848252
