Date,Open,High,Low,Close,Adjusted_close,Volume
2010-01-04,112.37,113.39,111.51,113.33,90.205,118944541
2010-01-05,113.26,113.68,112.85,113.63,90.4438,111579866
2010-01-06,113.52,113.99,113.43,113.71,90.5075,116074402
2010-01-07,113.5,114.33,113.18,114.19,90.8895,131091048
2010-01-08,113.89,114.62,113.66,114.57,91.192,126402764
2010-01-11,115.08,115.13,114.235,114.73,91.3194,106375678
2010-01-12,113.97,114.21,113.22,113.66,90.4677,163333432
2010-01-13,113.95,114.94,113.37,114.62,91.2318,161821927
2010-01-14,114.49,115.14,114.42,114.93,91.4785,115783759
2010-01-15,114.73,114.84,113.2,113.64,90.4518,212283097
2010-01-19,113.62,115.13,113.59,115.06,91.582,139172635
2010-01-20,114.28,114.45,112.98,113.89,90.6508,216490121
2010-01-21,113.92,114.27,111.56,111.7,88.9076,344859506
2010-01-22,111.2,111.7416,109.09,109.21,86.9257,345942402
2010-01-25,110.21,110.41,109.41,109.77,87.3714,186937468
2010-01-26,109.34,110.47,109.04,109.31,87.0053,211168719
2010-01-27,109.17,110.08,108.33,109.83,87.4192,271863580
2010-01-28,110.19,110.25,107.91,108.57,86.4163,316103993
2010-01-29,109.04,109.8,107.22,107.39,85.4771,310677592
2010-02-01,108.15,109.07,107.5008,109.06,86.8063,187864905
2010-02-02,109.26,110.59,108.88,110.38,87.857,216327851
2010-02-03,109.88,110.4815,109.51,109.83,87.4192,172730603
2010-02-04,108.98,109.03,106.42,106.44,84.7209,356715612
2010-02-05,106.56,106.88,104.58,106.66,84.896,493585758
2010-02-08,106.74,107.33,105.8099,105.89,84.2832,224166833
2010-02-09,107.13,108.15,106.27,107.22,85.3418,337820408
2010-02-10,107.05,107.6,106.11,107.01,85.1746,240511495
2010-02-11,106.87,108.25,106.25,108.13,86.0661,223591548
2010-02-12,106.99,108.1012,106.51,108.04,85.9944,304622008
2010-02-16,108.86,109.85,107.821,109.74,87.3476,159317418
2010-02-17,110.27,110.41,109.74,110.26,87.7615,168845041
2010-02-18,110.08,111.14,110.035,110.91,88.2788,193708529
2010-02-19,110.62,111.57,110.36,111.14,88.4619,222684816
